V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51
102,102,105,105,105,105,108,105,105,105,105,105,105,105,108,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,0
102,105,105,105,105,108,105,105,105,105,105,105,105,108,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,0
105,105,105,105,108,105,105,105,105,105,105,105,108,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,0
105,105,105,108,105,105,105,105,105,105,105,108,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,0
105,105,108,105,105,105,105,105,105,105,108,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,0
105,108,105,105,105,105,105,105,105,108,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,0
108,105,105,105,105,105,105,105,108,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,0
105,105,105,105,105,105,105,108,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,0
105,105,105,105,105,105,108,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,0
105,105,105,105,105,108,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,0
105,105,105,105,108,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,0
105,105,105,108,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,0
105,105,108,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,0
105,108,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,0
108,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,0
105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,0
105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,0
105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,0
105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,0
105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,0
105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,0
105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,0
105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,0
105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,0
105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,0
105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,0
105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,0
105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,0
105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,0
105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,0
105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,0
105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,0
105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,0
105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,0
105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,0
105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,0
105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,0
105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,0
105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,0
105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,0
105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,0
105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,0
105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,0
102,102,102,99,102,96,96,99,102,99,93,87,84,84,84,78,72,72,75,78,78,84,84,78,78,72,72,78,84,84,87,84,84,84,78,78,84,75,81,78,66,51,63,69,75,84,87,87,84,84,1
102,102,99,102,96,96,99,102,99,93,87,84,84,84,78,72,72,75,78,78,84,84,78,78,72,72,78,84,84,87,84,84,84,78,78,84,75,81,78,66,51,63,69,75,84,87,87,84,84,84,1
102,99,102,96,96,99,102,99,93,87,84,84,84,78,72,72,75,78,78,84,84,78,78,72,72,78,84,84,87,84,84,84,78,78,84,75,81,78,66,51,63,69,75,84,87,87,84,84,84,84,1
99,102,96,96,99,102,99,93,87,84,84,84,78,72,72,75,78,78,84,84,78,78,72,72,78,84,84,87,84,84,84,78,78,84,75,81,78,66,51,63,69,75,84,87,87,84,84,84,84,78,1
102,96,96,99,102,99,93,87,84,84,84,78,72,72,75,78,78,84,84,78,78,72,72,78,84,84,87,84,84,84,78,78,84,75,81,78,66,51,63,69,75,84,87,87,84,84,84,84,78,66,1
96,96,99,102,99,93,87,84,84,84,78,72,72,75,78,78,84,84,78,78,72,72,78,84,84,87,84,84,84,78,78,84,75,81,78,66,51,63,69,75,84,87,87,84,84,84,84,78,66,57,1
96,99,102,99,93,87,84,84,84,78,72,72,75,78,78,84,84,78,78,72,72,78,84,84,87,84,84,84,78,78,84,75,81,78,66,51,63,69,75,84,87,87,84,84,84,84,78,66,57,84,1
99,102,99,93,87,84,84,84,78,72,72,75,78,78,84,84,78,78,72,72,78,84,84,87,84,84,84,78,78,84,75,81,78,66,51,63,69,75,84,87,87,84,84,84,84,78,66,57,84,93,1
102,99,93,87,84,84,84,78,72,72,75,78,78,84,84,78,78,72,72,78,84,84,87,84,84,84,78,78,84,75,81,78,66,51,63,69,75,84,87,87,84,84,84,84,78,66,57,84,93,102,1
99,93,87,84,84,84,78,72,72,75,78,78,84,84,78,78,72,72,78,84,84,87,84,84,84,78,78,84,75,81,78,66,51,63,69,75,84,87,87,84,84,84,84,78,66,57,84,93,102,108,1
93,87,84,84,84,78,72,72,75,78,78,84,84,78,78,72,72,78,84,84,87,84,84,84,78,78,84,75,81,78,66,51,63,69,75,84,87,87,84,84,84,84,78,66,57,84,93,102,108,105,1
87,84,84,84,78,72,72,75,78,78,84,84,78,78,72,72,78,84,84,87,84,84,84,78,78,84,75,81,78,66,51,63,69,75,84,87,87,84,84,84,84,78,66,57,84,93,102,108,105,102,1
84,84,84,78,72,72,75,78,78,84,84,78,78,72,72,78,84,84,87,84,84,84,78,78,84,75,81,78,66,51,63,69,75,84,87,87,84,84,84,84,78,66,57,84,93,102,108,105,102,99,1
84,84,78,72,72,75,78,78,84,84,78,78,72,72,78,84,84,87,84,84,84,78,78,84,75,81,78,66,51,63,69,75,84,87,87,84,84,84,84,78,66,57,84,93,102,108,105,102,99,99,1
84,78,72,72,75,78,78,84,84,78,78,72,72,78,84,84,87,84,84,84,78,78,84,75,81,78,66,51,63,69,75,84,87,87,84,84,84,84,78,66,57,84,93,102,108,105,102,99,99,99,1
78,72,72,75,78,78,84,84,78,78,72,72,78,84,84,87,84,84,84,78,78,84,75,81,78,66,51,63,69,75,84,87,87,84,84,84,84,78,66,57,84,93,102,108,105,102,99,99,99,96,1
72,72,75,78,78,84,84,78,78,72,72,78,84,84,87,84,84,84,78,78,84,75,81,78,66,51,63,69,75,84,87,87,84,84,84,84,78,66,57,84,93,102,108,105,102,99,99,99,96,87,1
72,75,78,78,84,84,78,78,72,72,78,84,84,87,84,84,84,78,78,84,75,81,78,66,51,63,69,75,84,87,87,84,84,84,84,78,66,57,84,93,102,108,105,102,99,99,99,96,87,84,1
75,78,78,84,84,78,78,72,72,78,84,84,87,84,84,84,78,78,84,75,81,78,66,51,63,69,75,84,87,87,84,84,84,84,78,66,57,84,93,102,108,105,102,99,99,99,96,87,84,84,1
78,78,84,84,78,78,72,72,78,84,84,87,84,84,84,78,78,84,75,81,78,66,51,63,69,75,84,87,87,84,84,84,84,78,66,57,84,93,102,108,105,102,99,99,99,96,87,84,84,84,1
78,84,84,78,78,72,72,78,84,84,87,84,84,84,78,78,84,75,81,78,66,51,63,69,75,84,87,87,84,84,84,84,78,66,57,84,93,102,108,105,102,99,99,99,96,87,84,84,84,78,1
84,84,78,78,72,72,78,84,84,87,84,84,84,78,78,84,75,81,78,66,51,63,69,75,84,87,87,84,84,84,84,78,66,57,84,93,102,108,105,102,99,99,99,96,87,84,84,84,78,75,1
84,78,78,72,72,78,84,84,87,84,84,84,78,78,84,75,81,78,66,51,63,69,75,84,87,87,84,84,84,84,78,66,57,84,93,102,108,105,102,99,99,99,96,87,84,84,84,78,75,75,1
78,78,72,72,78,84,84,87,84,84,84,78,78,84,75,81,78,66,51,63,69,75,84,87,87,84,84,84,84,78,66,57,84,93,102,108,105,102,99,99,99,96,87,84,84,84,78,75,75,84,1
78,72,72,78,84,84,87,84,84,84,78,78,84,75,81,78,66,51,63,69,75,84,87,87,84,84,84,84,78,66,57,84,93,102,108,105,102,99,99,99,96,87,84,84,84,78,75,75,84,84,1
72,72,78,84,84,87,84,84,84,78,78,84,75,81,78,66,51,63,69,75,84,87,87,84,84,84,84,78,66,57,84,93,102,108,105,102,99,99,99,96,87,84,84,84,78,75,75,84,84,84,1
72,78,84,84,87,84,84,84,78,78,84,75,81,78,66,51,63,69,75,84,87,87,84,84,84,84,78,66,57,84,93,102,108,105,102,99,99,99,96,87,84,84,84,78,75,75,84,84,84,84,1
78,84,84,87,84,84,84,78,78,84,75,81,78,66,51,63,69,75,84,87,87,84,84,84,84,78,66,57,84,93,102,108,105,102,99,99,99,96,87,84,84,84,78,75,75,84,84,84,84,84,1
84,84,87,84,84,84,78,78,84,75,81,78,66,51,63,69,75,84,87,87,84,84,84,84,78,66,57,84,93,102,108,105,102,99,99,99,96,87,84,84,84,78,75,75,84,84,84,84,84,75,1
84,87,84,84,84,78,78,84,75,81,78,66,51,63,69,75,84,87,87,84,84,84,84,78,66,57,84,93,102,108,105,102,99,99,99,96,87,84,84,84,78,75,75,84,84,84,84,84,75,75,1
87,84,84,84,78,78,84,75,81,78,66,51,63,69,75,84,87,87,84,84,84,84,78,66,57,84,93,102,108,105,102,99,99,99,96,87,84,84,84,78,75,75,84,84,84,84,84,75,75,63,1
84,84,84,78,78,84,75,81,78,66,51,63,69,75,84,87,87,84,84,84,84,78,66,57,84,93,102,108,105,102,99,99,99,96,87,84,84,84,78,75,75,84,84,84,84,84,75,75,63,60,1
84,84,78,78,84,75,81,78,66,51,63,69,75,84,87,87,84,84,84,84,78,66,57,84,93,102,108,105,102,99,99,99,96,87,84,84,84,78,75,75,84,84,84,84,84,75,75,63,60,60,1
84,78,78,84,75,81,78,66,51,63,69,75,84,87,87,84,84,84,84,78,66,57,84,93,102,108,105,102,99,99,99,96,87,84,84,84,78,75,75,84,84,84,84,84,75,75,63,60,60,57,1
78,78,84,75,81,78,66,51,63,69,75,84,87,87,84,84,84,84,78,66,57,84,93,102,108,105,102,99,99,99,96,87,84,84,84,78,75,75,84,84,84,84,84,75,75,63,60,60,57,51,1
78,84,75,81,78,66,51,63,69,75,84,87,87,84,84,84,84,78,66,57,84,93,102,108,105,102,99,99,99,96,87,84,84,84,78,75,75,84,84,84,84,84,75,75,63,60,60,57,51,60,1
84,75,81,78,66,51,63,69,75,84,87,87,84,84,84,84,78,66,57,84,93,102,108,105,102,99,99,99,96,87,84,84,84,78,75,75,84,84,84,84,84,75,75,63,60,60,57,51,60,57,1
75,81,78,66,51,63,69,75,84,87,87,84,84,84,84,78,66,57,84,93,102,108,105,102,99,99,99,96,87,84,84,84,78,75,75,84,84,84,84,84,75,75,63,60,60,57,51,60,57,69,1
81,78,66,51,63,69,75,84,87,87,84,84,84,84,78,66,57,84,93,102,108,105,102,99,99,99,96,87,84,84,84,78,75,75,84,84,84,84,84,75,75,63,60,60,57,51,60,57,69,84,1
78,66,51,63,69,75,84,87,87,84,84,84,84,78,66,57,84,93,102,108,105,102,99,99,99,96,87,84,84,84,78,75,75,84,84,84,84,84,75,75,63,60,60,57,51,60,57,69,84,84,1
66,51,63,69,75,84,87,87,84,84,84,84,78,66,57,84,93,102,108,105,102,99,99,99,96,87,84,84,84,78,75,75,84,84,84,84,84,75,75,63,60,60,57,51,60,57,69,84,84,84,1
51,63,69,75,84,87,87,84,84,84,84,78,66,57,84,93,102,108,105,102,99,99,99,96,87,84,84,84,78,75,75,84,84,84,84,84,75,75,63,60,60,57,51,60,57,69,84,84,84,84,1
63,69,75,84,87,87,84,84,84,84,78,66,57,84,93,102,108,105,102,99,99,99,96,87,84,84,84,78,75,75,84,84,84,84,84,75,75,63,60,60,57,51,60,57,69,84,84,84,84,93,1
69,75,84,87,87,84,84,84,84,78,66,57,84,93,102,108,105,102,99,99,99,96,87,84,84,84,78,75,75,84,84,84,84,84,75,75,63,60,60,57,51,60,57,69,84,84,84,84,93,99,1
75,84,87,87,84,84,84,84,78,66,57,84,93,102,108,105,102,99,99,99,96,87,84,84,84,78,75,75,84,84,84,84,84,75,75,63,60,60,57,51,60,57,69,84,84,84,84,93,99,102,1
84,87,87,84,84,84,84,78,66,57,84,93,102,108,105,102,99,99,99,96,87,84,84,84,78,75,75,84,84,84,84,84,75,75,63,60,60,57,51,60,57,69,84,84,84,84,93,99,102,105,1
87,87,84,84,84,84,78,66,57,84,93,102,108,105,102,99,99,99,96,87,84,84,84,78,75,75,84,84,84,84,84,75,75,63,60,60,57,51,60,57,69,84,84,84,84,93,99,102,105,108,1
87,84,84,84,84,78,66,57,84,93,102,108,105,102,99,99,99,96,87,84,84,84,78,75,75,84,84,84,84,84,75,75,63,60,60,57,51,60,57,69,84,84,84,84,93,99,102,105,108,108,1
84,84,84,84,78,66,57,84,93,102,108,105,102,99,99,99,96,87,84,84,84,78,75,75,84,84,84,84,84,75,75,63,60,60,57,51,60,57,69,84,84,84,84,93,99,102,105,108,108,108,1
84,84,84,78,66,57,84,93,102,108,105,102,99,99,99,96,87,84,84,84,78,75,75,84,84,84,84,84,75,75,63,60,60,57,51,60,57,69,84,84,84,84,93,99,102,105,108,108,108,108,1
84,84,78,66,57,84,93,102,108,105,102,99,99,99,96,87,84,84,84,78,75,75,84,84,84,84,84,75,75,63,60,60,57,51,60,57,69,84,84,84,84,93,99,102,105,108,108,108,108,108,1
84,78,66,57,84,93,102,108,105,102,99,99,99,96,87,84,84,84,78,75,75,84,84,84,84,84,75,75,63,60,60,57,51,60,57,69,84,84,84,84,93,99,102,105,108,108,108,108,108,108,1
78,66,57,84,93,102,108,105,102,99,99,99,96,87,84,84,84,78,75,75,84,84,84,84,84,75,75,63,60,60,57,51,60,57,69,84,84,84,84,93,99,102,105,108,108,108,108,108,108,108,1
66,57,84,93,102,108,105,102,99,99,99,96,87,84,84,84,78,75,75,84,84,84,84,84,75,75,63,60,60,57,51,60,57,69,84,84,84,84,93,99,102,105,108,108,108,108,108,108,108,108,1
57,84,93,102,108,105,102,99,99,99,96,87,84,84,84,78,75,75,84,84,84,84,84,75,75,63,60,60,57,51,60,57,69,84,84,84,84,93,99,102,105,108,108,108,108,108,108,108,108,108,1
84,93,102,108,105,102,99,99,99,96,87,84,84,84,78,75,75,84,84,84,84,84,75,75,63,60,60,57,51,60,57,69,84,84,84,84,93,99,102,105,108,108,108,108,108,108,108,108,108,108,1
93,102,108,105,102,99,99,99,96,87,84,84,84,78,75,75,84,84,84,84,84,75,75,63,60,60,57,51,60,57,69,84,84,84,84,93,99,102,105,108,108,108,108,108,108,108,108,108,108,108,1
102,108,105,102,99,99,99,96,87,84,84,84,78,75,75,84,84,84,84,84,75,75,63,60,60,57,51,60,57,69,84,84,84,84,93,99,102,105,108,108,108,108,108,108,108,108,108,108,108,108,1
108,105,102,99,99,99,96,87,84,84,84,78,75,75,84,84,84,84,84,75,75,63,60,60,57,51,60,57,69,84,84,84,84,93,99,102,105,108,108,108,108,108,108,108,108,108,108,108,108,102,1
105,102,99,99,99,96,87,84,84,84,78,75,75,84,84,84,84,84,75,75,63,60,60,57,51,60,57,69,84,84,84,84,93,99,102,105,108,108,108,108,108,108,108,108,108,108,108,108,102,105,1
102,99,99,99,96,87,84,84,84,78,75,75,84,84,84,84,84,75,75,63,60,60,57,51,60,57,69,84,84,84,84,93,99,102,105,108,108,108,108,108,108,108,108,108,108,108,108,102,105,99,1
99,99,99,96,87,84,84,84,78,75,75,84,84,84,84,84,75,75,63,60,60,57,51,60,57,69,84,84,84,84,93,99,102,105,108,108,108,108,108,108,108,108,108,108,108,108,102,105,99,99,1
99,99,96,87,84,84,84,78,75,75,84,84,84,84,84,75,75,63,60,60,57,51,60,57,69,84,84,84,84,93,99,102,105,108,108,108,108,108,108,108,108,108,108,108,108,102,105,99,99,93,1
99,96,87,84,84,84,78,75,75,84,84,84,84,84,75,75,63,60,60,57,51,60,57,69,84,84,84,84,93,99,102,105,108,108,108,108,108,108,108,108,108,108,108,108,102,105,99,99,93,84,1
96,87,84,84,84,78,75,75,84,84,84,84,84,75,75,63,60,60,57,51,60,57,69,84,84,84,84,93,99,102,105,108,108,108,108,108,108,108,108,108,108,108,108,102,105,99,99,93,84,84,1
87,84,84,84,78,75,75,84,84,84,84,84,75,75,63,60,60,57,51,60,57,69,84,84,84,84,93,99,102,105,108,108,108,108,108,108,108,108,108,108,108,108,102,105,99,99,93,84,84,93,1
84,84,84,78,75,75,84,84,84,84,84,75,75,63,60,60,57,51,60,57,69,84,84,84,84,93,99,102,105,108,108,108,108,108,108,108,108,108,108,108,108,102,105,99,99,93,84,84,93,99,1
84,84,78,75,75,84,84,84,84,84,75,75,63,60,60,57,51,60,57,69,84,84,84,84,93,99,102,105,108,108,108,108,108,108,108,108,108,108,108,108,102,105,99,99,93,84,84,93,99,102,1
84,78,75,75,84,84,84,84,84,75,75,63,60,60,57,51,60,57,69,84,84,84,84,93,99,102,105,108,108,108,108,108,108,108,108,108,108,108,108,102,105,99,99,93,84,84,93,99,102,102,1
78,75,75,84,84,84,84,84,75,75,63,60,60,57,51,60,57,69,84,84,84,84,93,99,102,105,108,108,108,108,108,108,108,108,108,108,108,108,102,105,99,99,93,84,84,93,99,102,102,102,1
75,75,84,84,84,84,84,75,75,63,60,60,57,51,60,57,69,84,84,84,84,93,99,102,105,108,108,108,108,108,108,108,108,108,108,108,108,102,105,99,99,93,84,84,93,99,102,102,102,102,1
75,84,84,84,84,84,75,75,63,60,60,57,51,60,57,69,84,84,84,84,93,99,102,105,108,108,108,108,108,108,108,108,108,108,108,108,102,105,99,99,93,84,84,93,99,102,102,102,102,102,1
84,84,84,84,84,75,75,63,60,60,57,51,60,57,69,84,84,84,84,93,99,102,105,108,108,108,108,108,108,108,108,108,108,108,108,102,105,99,99,93,84,84,93,99,102,102,102,102,102,99,1
84,84,84,84,75,75,63,60,60,57,51,60,57,69,84,84,84,84,93,99,102,105,108,108,108,108,108,108,108,108,108,108,108,108,102,105,99,99,93,84,84,93,99,102,102,102,102,102,99,96,1
84,84,84,75,75,63,60,60,57,51,60,57,69,84,84,84,84,93,99,102,105,108,108,108,108,108,108,108,108,108,108,108,108,102,105,99,99,93,84,84,93,99,102,102,102,102,102,99,96,99,1
84,84,75,75,63,60,60,57,51,60,57,69,84,84,84,84,93,99,102,105,108,108,108,108,108,108,108,108,108,108,108,108,102,105,99,99,93,84,84,93,99,102,102,102,102,102,99,96,99,99,1
84,75,75,63,60,60,57,51,60,57,69,84,84,84,84,93,99,102,105,108,108,108,108,108,108,108,108,108,108,108,108,102,105,99,99,93,84,84,93,99,102,102,102,102,102,99,96,99,99,99,1
75,75,63,60,60,57,51,60,57,69,84,84,84,84,93,99,102,105,108,108,108,108,108,108,108,108,108,108,108,108,102,105,99,99,93,84,84,93,99,102,102,102,102,102,99,96,99,99,99,99,1
75,63,60,60,57,51,60,57,69,84,84,84,84,93,99,102,105,108,108,108,108,108,108,108,108,108,108,108,108,102,105,99,99,93,84,84,93,99,102,102,102,102,102,99,96,99,99,99,99,99,1
63,60,60,57,51,60,57,69,84,84,84,84,93,99,102,105,108,108,108,108,108,108,108,108,108,108,108,108,102,105,99,99,93,84,84,93,99,102,102,102,102,102,99,96,99,99,99,99,99,99,1
